Symbol
AAPL
MSFT
GOOG
GOOGL
AMZN
TSLA
BRK.B
META
UNH
JNJ
V
NVDA
XOM
PG
WMT
JPM
MA
LLY
PFE
HD
CVX
KO
ABBV
BAC
PEP
MRK
COST
TMO
VZ
AVGO
ABT
DHR
ORCL
MCD
ACN
ADBE
CSCO
CMCSA
DIS
CRM
TMUS
NKE
UPS
BMY
NEE
INTC
WFC
T
QCOM
PM
TXN
RTX
LIN
MS
UNP
AMGN
AMD
IBM
CVS
SCHW
MDT
SPGI
HON
AMT
LOW
ELV
INTU
LMT
COP
AXP
GS
NOW
CAT
BLK
EL
C
DE
SBUX
PLD
ADP
CI
PYPL
MDLZ
ZTS
NFLX
BA
CB
DUK
AMAT
GILD
MMC
CHTR
ADI
SYK
SO
MO
VRTX
CME
ISRG
NOC
CCI
MMM
BKNG
PGR
BDX
TJX
TGT
USB
GE
MRNA
PNC
CL
REGN
MU
D
TFC
WM
CSX
SHW
EOG
ATVI
GD
EW
FISV
HUM
EQIX
FDX
AON
NSC
DG
ITW
OXY
LRCX
FIS
PSA
BSX
ICE
MCO
PXD
APD
ETN
HCA
MNST
KDP
MET
CNC
SNPS
SLB
AEP
EMR
GM
NEM
KLAC
KHC
SRE
MCK
LHX
F
HSY
KMB
STZ
MAR
ECL
MPC
GIS
CDNS
SYY
EXC
ORLY
VLO
COF
ROP
FCX
AZO
PAYX
ADM
IQV
O
RSG
AIG
TRV
NXPI
PSX
ADSK
APH
CTAS
KMI
CTVA
DOW
WMB
DLTR
XEL
CMG
WELL
TEL
A
MSI
DLR
AFL
PRU
ALL
DVN
MSCI
WBD
CTSH
SBAC
AJG
EA
KR
BK
YUM
BF.B
WBA
JCI
HPQ
BAX
ED
MCHP
RMD
PH
SPG
IDXX
GPN
BIIB
ILMN
HLT
WEC
ANET
PEG
TSN
HES
ODFL
CARR
TT
IFF
VICI
OTIS
TWTR
ABC
BKR
NUE
FAST
TDG
LYB
ES
DD
PCAR
MTB
CMI
PPG
VRSK
DFS
ENPH
AWK
GLW
MTD
CPRT
EQR
TROW
LVS
HAL
AVB
ROST
HRL
AME
AMP
FRC
KEYS
WY
DHI
OKE
APTV
SIVB
CBRE
K
EBAY
ARE
DTE
GWW
EIX
ALB
WST
ROK
STT
EFX
EXR
FITB
CHD
AEE
TSCO
LH
ON
BALL
ETR
WTW
ZBH
LEN
DRE
MKC
ANSS
LUV
HIG
MTCH
CDW
CTRA
FE
STE
WAT
FANG
ALGN
VTR
NTRS
GRMN
PPL
FTV
CTLT
ULTA
MAA
IT
PAYC
LYV
VMC
VRSN
GPC
MLM
CEG
CMS
DAL
CINF
AMCR
PWR
RJF
EPAM
PKI
CNP
CFG
MPWR
TDY
FOX
FOXA
ROL
URI
WRB
CLX
HOLX
INCY
DOV
HBAN
VFC
RF
CF
IR
BR
JBHT
ESS
BRO
PFG
HPE
PARA
COO
SWK
CAG
FLT
EXPD
KEY
MOH
MOS
J
ZBRA
STX
BBY
IP
DGX
SEDG
SWKS
ATO
POOL
MRO
WAB
BIO
FDS
KMX
TRMB
NDAQ
AKAM
SYF
EVRG
GNRC
TTWO
TER
EXPE
DRI
DPZ
CPB
UDR
LKQ
LNT
XYL
TECH
L
SJM
TYL
CAH
NVR
NTAP
AES
CPT
PEAK
IEX
IRM
BXP
WDC
LDOS
AVY
HWM
JKHY
NLOK
PKG
TXT
FMC
OMC
CHRW
MGM
CBOE
VTRS
CTXS
PTC
CE
KIM
MAS
ABMD
BEN
NDSN
TFX
UAL
TAP
HAS
SBNY
EMN
APA
CRL
NI
HST
ETSY
LUMN
RE
AAP
IPG
LW
SNA
HSIC
WRK
QRVO
REG
PHM
CCL
MKTX
FTNT
CMA
GL
AOS
FFIV
DISH
AIZ
NWS
NWSA
JNPR
AAL
WHR
RCL
NRG
UHS
CZR
ALLE
RHI
HII
NLSN
SEE
OGN
BWA
LNC
FBHS
TPR
PNW
DXCM
NWL
DVA
CDAY
PNR
MHK
ZION
FRT
XRAY
IVZ
DXC
RL
WYNN
BBWI
VNO
PENN
ALK
PVH
NCLH
